Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES,Bueno,Desmalezado,Higiene Urbana,27/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,27/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,26/03/2026
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,25/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,25/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,20/03/2026
Plazas,PLAZA LAS TINAJAS,Bueno,Desmalezado,Higiene Urbana,20/03/2026
Paseo y Espacios Públicos,FERIAGRO,Bueno,Desmalezado,Higiene Urbana,20/03/2026
Plazas,HUENTOTA,Bueno,Desmalezado,Higiene Urbana,19/03/2026
Paseo y Espacios Públicos,PASEO MALBEC,Bueno,Desmalezado,Higiene Urbana,19/03/2026
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,19/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,19/03/2026
Rotonda,BESARES Y DARRAGUEIRA,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,AZCUENAGA Y ACCESO SUR,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,RUTA 15 Y QUINTANA,Bueno,Limpieza,Obras y EP,25/03/2026
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,25/03/2026
P.E.S.,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,25/03/2026
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,25/03/2026
P.E.S.,MATHEU Y CUBILLOS,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,MATHEU Y CUBILLOS,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,BESARES Y CUBILLOS,Bueno,Limpieza,Obras y EP,25/03/2026
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,25/03/2026
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,25/03/2026
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,25/03/2026
Rotonda,ARAOZ OESTE,Bueno,Limpieza,Obras y EP,25/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,18/03/2026
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,17/03/2026
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Mantenimiento de texturas,Higiene Urbana,17/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,17/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,16/03/2026
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,17/03/2026
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,PANAMERICANA Y UGARTE,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,PASO Y ALZAGA,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,17/03/2026
