Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
P.E.S.,PASEO LENCINAS,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,BALCARCE,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,PUL,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,24/06/2025
P.E.S.,ITALIA Y FFCC,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,VIAMONTE Y LARREA,Bueno,Limpieza,Obras y EP,24/06/2025
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Limpieza,Obras y EP,24/06/2025
Rotonda,ARAOZ OESTE,Bueno,Limpieza,Obras y EP,23/06/2025
Rotonda,ARAOZ OESTE,Bueno,Mantenimiento de obra,Obras y EP,23/06/2025
Rotonda,PISTA DE MANEJO,Bueno,Limpieza,Obras y EP,18/06/2025
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Mantenimiento de texturas,Obras y EP,17/06/2025
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Mantenimiento de obra,Obras y EP,17/06/2025
Plazas,PLAZA LAS PARRAS,Bueno,Mantenimiento de obra,Obras y EP,17/06/2025
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,17/06/2025
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,17/06/2025
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,17/06/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,17/06/2025
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,17/06/2025
Plazas,B° CORDÓN DEL PLATA,Bueno,Desmalezado,Higiene Urbana,17/06/2025
Plazas,B° CORDÓN DEL PLATA,Bueno,Limpieza,Higiene Urbana,17/06/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,16/06/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,13/06/2025
Paseo y Espacios Públicos,PUL,Bueno,Limpieza,Higiene Urbana,12/06/2025
Plazas,B° CEFERINO NAMUNCURA,Bueno,Limpieza,Higiene Urbana,12/06/2025
Plazas,B° ALTO DRUMMOND,Bueno,Limpieza,Higiene Urbana,12/06/2025
Plazas,B° PARQUE DRUMMOND,Bueno,Limpieza,Higiene Urbana,12/06/2025
Plazas,PLAZA LAS PARRAS,Bueno,Limpieza,Higiene Urbana,11/06/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,11/06/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,10/06/2025
Paseo y Espacios Públicos,PASEO MALBEC,Bueno,Limpieza,Higiene Urbana,10/06/2025
Rotonda,PINCOLINI,Bueno,Limpieza,Higiene Urbana,10/06/2025
Plazas,B° JARDÍN VISTALBA,Bueno,Desmalezado,Higiene Urbana,10/06/2025
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,09/06/2025
Rotonda,INMIGRANTE,Bueno,Limpieza,Higiene Urbana,09/06/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Limpieza,Higiene Urbana,09/06/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Desmalezado,Higiene Urbana,09/06/2025
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,10/06/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,10/06/2025
,,,,,
Ciclovía,PASO (PANAMERICANA-SAN MARTIN),Bueno,Limpieza,Higiene Urbana,02/06/2025
Ciclovía,MATHEU (CUBILLOS-PANAMA),Bueno,Limpieza,Higiene Urbana,02/06/2025
Ciclovía,CUBILLOS (MATHEU-BESARES),Bueno,Limpieza,Higiene Urbana,02/06/2025
Ciclovía,CICLOVÍA Y CANAL SECO VIAMONTE (Besares al Norte),Bueno,Limpieza,Higiene Urbana,02/06/2025
Ciclovía,GENERAL SAN MARTÍN,Bueno,Limpieza,Higiene Urbana,02/06/2025
Paseo y Espacios Públicos,PLAZA MOSCONI,Bueno,Limpieza,Higiene Urbana,30/05/2025
P.E.S.,HEROES DE MALVINAS Y CARRODILLA,Bueno,Limpieza,Obras y EP,30/05/2025
Ciclovía,CHILE (SAENZ PEÑA-VIAMONTE),Bueno,Limpieza,Higiene Urbana,30/05/2025
Paseo y Espacios Públicos,PASEO MOSCONI,Bueno,Limpieza,Higiene Urbana,30/05/2025
P.E.S.,RUTA 16 Y RUTA 61 (Pez Carrizal),Bueno,Limpieza,Delegación,30/05/2025
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,30/05/2025
P.E.S.,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,30/05/2025
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,30/05/2025
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,PASO Y ALZAGA,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,PANAMERICANA Y UGARTE,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,30/05/2025
P.E.S.,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,30/05/2025
Rotonda,CORREDOR DEL OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/05/2025
Rotonda,SAN MARTÍN Y BESARES,Bueno,Limpieza,Obras y EP,29/05/2025
P.E.S.,SAN MARTÍN Y BESARES,Bueno,Limpieza,Obras y EP,29/05/2025
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,29/05/2025
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,29/05/2025
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,29/05/2025
P.E.S.,RUTA 15 Y SALGUERO (THAMES),Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,RUTA 15 Y QUINTANA,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,CORREDOR DEL OESTE,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,29/05/2025
Rotonda,INMIGRANTE,Bueno,Limpieza,Obras y EP,29/05/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Desmalezado,Higiene Urbana,28/05/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Limpieza,Higiene Urbana,28/05/2025
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES,Bueno,Limpieza,Higiene Urbana,26/05/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,26/05/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,26/05/2025
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,23/05/2025
Paseo y Espacios Públicos,PUL,Bueno,Limpieza,Higiene Urbana,23/05/2025
Plazas,PARQUE CIVICO,Bueno,Limpieza,Higiene Urbana,23/05/2025
Plazas,,,,,
Plazas,LAS GLICINAS,Bueno,Limpieza,Higiene Urbana,22/05/2025
Plazas,PLAZA B° MIRAFLORES,Bueno,Limpieza,Higiene Urbana,22/05/2025
Plazas,B° MUTUAL YPF (SALIDA CASTRO B),Bueno,Limpieza,Higiene Urbana,22/05/2025
Plazas,B° MUTUAL YPF (SALIDA CASTRO B),Bueno,Desmalezado,Higiene Urbana,22/05/2025
Plazas,PLAZA B° LOS OLIVOS,Bueno,Desmalezado,Higiene Urbana,22/05/2025
Plazas,PLAZA B° LOS OLIVOS,Bueno,Limpieza,Higiene Urbana,22/05/2025
Plazas,PLAZA LOYOLA,Bueno,Limpieza,Higiene Urbana,22/05/2025
Plazas,PLAZA LOYOLA,Bueno,Desmalezado,Higiene Urbana,22/05/2025
Plazas,PLAZA B°21 DE JULIO,Bueno,Desmalezado,Higiene Urbana,22/05/2025
Plazas,PLAZA B°21 DE JULIO,Bueno,Limpieza,Higiene Urbana,22/05/2025
Ciclovía,ALMTE BROWN (GUARDIA VIEJA-CACIQUE GLLEN),Bueno,Limpieza,Higiene Urbana,21/05/2025
Ciclovía,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Higiene Urbana,21/05/2025
Ciclovía,GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Bueno,Limpieza,Higiene Urbana,20/05/2025
Plazas,PLAZA LAS ROSAS,Bueno,Limpieza,Higiene Urbana,19/05/2025
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,19/05/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,19/05/2025
Paseo y Espacios Públicos,ESQUINA VIEYTES Y BOEDO,Bueno,Limpieza,Obras y EP,15/05/2025
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Limpieza,Obras y EP,15/05/2025
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,15/05/2025
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,15/05/2025
Paseo y Espacios Públicos,PUL,Bueno,Limpieza,Higiene Urbana,15/05/2025
Paseo y Espacios Públicos,PASEO LIBERTAD,Bueno,Limpieza,Higiene Urbana,14/05/2025
Plazas,PLAZOLETA CIOPPO,Bueno,Limpieza,Higiene Urbana,13/05/2025
Plazas,PARQUE CIVICO,Bueno,Limpieza,Higiene Urbana,13/05/2025
Plazas,PARQUE CIVICO,Regular,Recorte de coirones/poda,Higiene Urbana,12/05/2025
Plazas,PARQUE CIVICO,Regular,Desmalezado,Higiene Urbana,12/05/2025
Plazas,PARQUE CIVICO,Regular,Limpieza,Higiene Urbana,12/05/2025
Paseo y Espacios Públicos,PASEO CHILE (Advocaciones),Bueno,Limpieza,Higiene Urbana,12/05/2025
Rotonda,INMIGRANTE,Bueno,Riego ,Higiene Urbana,09/05/2025
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Riego ,Higiene Urbana,09/05/2025
Plazas,B° JARDÍN VISTALBA,Bueno,Limpieza,Higiene Urbana,09/05/2025
Plazas,B° 27 DE ABRIL,Bueno,Limpieza,Higiene Urbana,08/05/2025
Plazas,B° 27 DE ABRIL,Bueno,Desmalezado,Higiene Urbana,08/05/2025
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Desmalezado,Higiene Urbana,07/05/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Desmalezado,Higiene Urbana,07/05/2025
Plazas,B° LOS ROBLES,Bueno,Limpieza,Obras y EP,12/05/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,12/05/2025
P.E.S.,HEROES DE MALVINAS Y CARRODILLA,Bueno,Limpieza,Obras y EP,07/05/2025
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,07/05/2025
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,07/05/2025
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,07/05/2025
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,07/05/2025
P.E.S.,RUTA 15 Y VILLANUEVA,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,RUTA 15 Y QUINTANA,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,07/05/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Desmalezado,Obras y EP,07/05/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Mantenimiento de texturas,Obras y EP,07/05/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,07/05/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,05/05/2025
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,05/05/2025
Plazas,PLAZA LAS ROSAS,Bueno,Limpieza,Higiene Urbana,29/04/2025
Plazas,JOSÉ HERNANDEZ,Bueno,Limpieza,Higiene Urbana,29/04/2025
Plazas,B° MUTUAL YPF (SALIDA CASTRO B),Bueno,Limpieza,Higiene Urbana,25/04/2025
Plazas,PLAZA LAS ROSAS,Bueno,Limpieza (sopladora),Higiene Urbana,25/04/2025
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,24/04/2025
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,24/04/2025
Plazas,PLAZA DE LOS NIÑOS,Bueno,Desmalezado,Higiene Urbana,24/04/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,24/04/2025
Ciclovía,ALMTE BROWN (GUARDIA VIEJA-CACIQUE GLLEN),Bueno,Limpieza (sopladora),Higiene Urbana,24/04/2025
Plazas,B° JARDÍN VISTALBA,Bueno,Desmalezado,Higiene Urbana,24/04/2025
Ciclovía,VIAS DE CHACRAS (ITALIA-ESTACION FFCC),Bueno,Desmalezado,Higiene Urbana,22/04/2025
Paseo y Espacios Públicos,PASEO CHILE (Advocaciones),Bueno,Desmalezado,Higiene Urbana,21/04/2025
Plazas,B° CEFERINO NAMUNCURA,Regular,Limpieza,Higiene Urbana,21/04/2025
Plazas,PLAZA LAS PARRAS,Bueno,Limpieza,Higiene Urbana,21/04/2025
Plazas,PLAZA UGARTECHE,Bueno,Limpieza,Higiene Urbana,21/04/2025
Plazas,VIRGEN DE LOURDES,Bueno,Limpieza,Delegación,22/04/2025
P.E.S.,B° TERRAZAS DEL RIO,Bueno,Desmalezado,Delegación,22/04/2025
Plazas,B° NUEVA VIDA,Bueno,Desmalezado,Delegación,22/04/2025
Plazas,5 DE JULIO,Bueno,Desmalezado,Delegación,22/04/2025
Plazas,PLAZOLETA AYMONT,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,RUTA 15 Y QUINTANA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,RUTA 15 Y QUINTANA,Bueno,Limpieza,Obras y EP,14/04/2025
Plazas,B° 27 DE ABRIL,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Plazas,B° 27 DE ABRIL,Bueno,Riego ,Obras y EP,14/04/2025
Plazas,B° 27 DE ABRIL,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,PARQUE URBANO P.U.L,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,PARQUE URBANO P.U.L,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,BALCARCE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,BALCARCE,Bueno,Limpieza,Obras y EP,14/04/2025
P.E.S.,BESARES Y SAN MARTÍN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
P.E.S.,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,BESARES Y SAN MARTÍN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,14/04/2025
Rotonda,BOEDO OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,BOEDO ESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,14/04/2025
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,14/04/2025
P.E.S.,PASO Y SAN MARTIN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,14/04/2025
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,14/04/2025
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,PASO Y SAN MARTIN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/04/2025
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,14/04/2025
Plazas,B° SAN CAYETANO,Bueno,Desmalezado,Higiene Urbana,11/04/2025
Plazas,DAPARO,Bueno,Desmalezado,Higiene Urbana,11/04/2025
Plazas,B° PAULA ALBARRACÍN,Bueno,Desmalezado,Higiene Urbana,10/04/2025
Plazas,ADINA,Bueno,Desmalezado,Higiene Urbana,10/04/2025
Plazas,B° NUEVA VIDA,Bueno,Limpieza,Higiene Urbana,10/04/2025
Plazas,CUADRO ESTACIÓN,Bueno,Limpieza,Higiene Urbana,09/04/2025
Plazas,B° IV PERDRIEL,Bueno,Limpieza,Higiene Urbana,08/04/2025
Plazas,B° TERRAZAS DEL RIO,Bueno,Limpieza,Higiene Urbana,08/04/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,11/04/2025
Plazas,PLAZA DE LOS NIÑOS,Bueno,Aplicación de glifosato/desyuyar,Higiene Urbana,10/04/2025
Plazas,B° 27 DE ABRIL,Bueno,Limpieza,Higiene Urbana,10/04/2025
Paseo y Espacios Públicos,PUERTO DESEADO,Bueno,Siembra,Higiene Urbana,08/04/2025
Paseo y Espacios Públicos,PUERTO DESEADO,Bueno,Limpieza,Higiene Urbana,08/04/2025
Plazas,PLAZA UGARTECHE,Regular,Riego ,Higiene Urbana,04/04/2025
Paseo y Espacios Públicos,FERIAGRO,Regular,Desmalezado,Higiene Urbana,03/04/2025
Paseo y Espacios Públicos,FERIAGRO,Regular,Limpieza,Higiene Urbana,03/04/2025
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,03/04/2025
Plazas,VISTA AL ALBA,Bueno,Desmalezado,Higiene Urbana,01/04/2025
Rotonda,INMIGRANTE,Bueno,Desmalezado,Higiene Urbana,01/04/2025
Paseo y Espacios Públicos,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,01/04/2025
Plazas,B° PAULA ALBARRACÍN,Bueno,Limpieza,Higiene Urbana,01/04/2025
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Desmalezado,Higiene Urbana,27/03/2025
Paseo y Espacios Públicos,PASEO LIBERTAD,Bueno,Limpieza,Higiene Urbana,27/03/2025
Paseo y Espacios Públicos,PUL,Bueno,Limpieza,Higiene Urbana,28/03/2025
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,28/03/2025
Rotonda,PASO Y UGARTE,Bueno,Limpieza,Obras y EP,28/03/2025
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,28/03/2025
Plazas,PLAZA DE LOS NIÑOS,Bueno,Limpieza,Higiene Urbana,27/03/2025
Plazas,B° ALTO DRUMMOND,Bueno,Limpieza,Higiene Urbana,27/03/2025
Paseo y Espacios Públicos,PUERTO DESEADO,Bueno,Desmalezado,Higiene Urbana,26/03/2025
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Desmalezado,Higiene Urbana,26/03/2025
Ciclovía,PASEO CHILE (Advocaciones),Regular,Desmalezado,Higiene Urbana,26/03/2025
Ciclovía,PASEO CHILE (Advocaciones),Regular,Limpieza,Higiene Urbana,26/03/2025
Ciclovía,PASEO CHILE (Advocaciones),Regular,Limpieza,Higiene Urbana,26/03/2025
Rotonda,VIAMONTE Y LARREA,Bueno,Riego ,Obras y EP,20/03/2025
Rotonda,VIAMONTE Y LARREA,Bueno,Limpieza,Obras y EP,20/03/2025
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Limpieza,Obras y EP,20/03/2025
Plazas,B° CORDÓN DEL PLATA,Bueno,Desmalezado,Higiene Urbana,12/03/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,18/03/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,17/03/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,17/03/2025
Plazas,PLAZA B JARDIN FADER,Regular,Limpieza (sopladora),Higiene Urbana,17/03/2025
Plazas,JARDÍN DE FADER,Regular,Limpieza,Higiene Urbana,17/03/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,17/03/2025
P.E.S.,PASEO LENCINAS,Bueno,Limpieza,Obras y EP,17/03/2025
Ciclovía,SAN MARTIN (PASO-BESARES),Bueno,Limpieza,Delegación,17/03/2025
Ciclovía,SAN MARTIN (ALMTE BROWN - BELGRANO),Bueno,Limpieza,Delegación,17/03/2025
Plazas,PLAZA VILLA DEL RIO (CEC),Bueno,Limpieza,Higiene Urbana,17/03/2025
Ciclovía,LUJAN PLAYA (BAJADA AL RIO),Bueno,Limpieza,Delegación,17/03/2025
Ciclovía,ALZAGA (ALMTE BROWN-BESARES),Bueno,Limpieza,Delegación,17/03/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/03/2025
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,14/03/2025
Rotonda,VIAMONTE Y LARREA,Bueno,Limpieza,Obras y EP,14/03/2025
Plazas,B° JARDÍN CARRODILLA,Bueno,Desmalezado,Higiene Urbana,13/03/2025
Paseo y Espacios Públicos,PLAYÓN DEPORTIVO VERTIENTES,Bueno,Desmalezado,Higiene Urbana,13/03/2025
Plazas,B° MEGAFON,Bueno,Desmalezado,Higiene Urbana,13/03/2025
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Limpieza,Higiene Urbana,13/03/2025
Plazas,B° CORDÓN DEL PLATA,Regular,Limpieza,Higiene Urbana,13/03/2025
Rotonda,BOEDO ESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/03/2025
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,13/03/2025
Rotonda,BOEDO OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/03/2025
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,13/03/2025
Rotonda,PINCOLINI,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/03/2025
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,13/03/2025
P.E.S.,SAN MARTÍN Y PASO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/03/2025
P.E.S.,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,13/03/2025
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,13/03/2025
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/03/2025
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,13/03/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Aplicación de glifosato/desyuyar,Obras y EP,11/03/2025
Rotonda,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,11/03/2025
Plazas,PLAZOLETA CIOPPO,Bueno,Limpieza,Obras y EP,11/03/2025
Plazas,PLAZOLETA CIOPPO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,11/03/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,11/03/2025
Plazas,PLAZA LAS TINAJAS,Bueno,Limpieza,Obras y EP,11/03/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,05/03/2025
Rotonda,INMIGRANTE,Bueno,Limpieza,Higiene Urbana,05/03/2025
Rotonda,INMIGRANTE,Bueno,Desmalezado,Higiene Urbana,05/03/2025
Plazas,VISTA AL ALBA,Bueno,Desmalezado,Higiene Urbana,05/03/2025
Ciclovía,SAENZ PEÑA (SAN MARTIN-G.ORTIZ),Bueno,Desmalezado,Higiene Urbana,05/03/2025
Ciclovía,PINCOLINI,Bueno,Desmalezado,Higiene Urbana,05/03/2025
Ciclovía,GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Bueno,Limpieza,Higiene Urbana,05/03/2025
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,06/03/2025
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,06/03/2025
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Limpieza,Obras y EP,06/03/2025
Rotonda,PASO Y ALZAGA,Bueno,Limpieza,Obras y EP,06/03/2025
,,,,,
Rotonda,PASO Y UGARTE,Bueno,Limpieza,Obras y EP,06/03/2025
