NOMBRE,TIPO,CATEGORIA,ÁREA RESPONSABLE,LATITUD,LONGITUD,DISTRITO
BESARES Y SAN MARTÍN,Rotonda,E,Obras y EP,,,CARRODILLA
BOEDO (SAN MARTIN-VIEYTES),Ciclovía,A,Higiene Urbana y Obras,-32.98588615,-68.84323823,CARRODILLA
BOEDO ESTE,Rotonda,A,Obras y EP,,,CARRODILLA
BOEDO OESTE,Rotonda,A,Obras y EP,,,CARRODILLA
BOEDO Y SANDWICH DEL SUR,P.E.S.,E,Parque Cívico,-32.98349399,-68.85578226,CARRODILLA
BONARDA Y PARQUE CÍVICO,P.E.S.,C,Parque Cívico,-32.9850702,-68.85584883,CARRODILLA
BOULEVARD LOS TARCOS,Paseo y Espacios Públicos,C,Higiene Urbana,,,
BRANDSEN (tres esquinas),Rotonda,A,Obras y EP,,,PERDRIEL
BRANDSEN Y COBOS,Rotonda,B,Obras y EP,,,PERDRIEL
CALLE PASO (Boulevard Y Laterales),Paseo y Espacios Públicos,A,Delegación,,,LA PUNTILLA
CANAL SECO VIAMONTE (UGARTE-ITALIA),Ciclovía,E,Higiene Urbana y Obras,-32.9751562,-68.87085939,CHACRAS DE CORIA
Cantero central Panamericana (Irigoyen-Ugarte),Paseo y Espacios Públicos,A,Delegación,,,LA PUNTILLA
CANTERO CENTRAL SAENZ PEÑA,Paseo y Espacios Públicos,A,Higiene Urbana,,,VISTALBA
CARIDAD (LARREA-LINIERS),Ciclovía,B,Higiene Urbana y Obras,-32.98743326,-68.87614276,CHACRAS DE CORIA
CARRIZAL (PUEBLO UNIDAD-LAS TURBERAS),Ciclovía,C,Higiene Urbana y Obras,-33.31503433,-68.7697033,EL CARRIZAL
CATAMARCA Y GASCON,P.E.S.,C,Higiene Urbana,-33.02998211,-68.86736009,MAYOR DRUMOND
CHILE (SAENZ PEÑA-VIAMONTE),Ciclovía,E,Higiene Urbana y Obras,-33.02745117,-68.88914706,CIUDAD
CHOEL CHOEL,Paseo y Espacios Públicos,C,Higiene Urbana,,,
CICLOVIA PARQUE FERRI,Ciclovía,A,Obras y EP,,,CIUDAD
CICLOVÍA Y CANAL SECO VIAMONTE (Besares al Norte),P.E.S.,C,Delegación,-32.98068219,-68.87472235,CHACRAS DE CORIA
CLAVELES MENDOCINOS,Plazas,C,Higiene Urbana,,,CIUDAD
COLLOVATI,Plazas,C,Delegación,,,CHACRAS DE CORIA
CORREDOR DEL OESTE,Rotonda,E,Obras y EP,,,LA PUNTILLA
CUADRO ESTACIÓN,Plazas,C,Delegación,,,PERDRIEL
CUBILLOS (MATHEU-BESARES),Ciclovía,B,Higiene Urbana y Obras,-32.97688252,-68.86442039,
DAPARO,Plazas,A,Delegación,,,PERDRIEL
DARRAGUEIRA Y LA CUESTA (Derivador),Rotonda,B,Obras y EP,,,LA PUNTILLA
DEL HUERTO,Plazas,C,Delegación,,,LA PUNTILLA
ESPACIO I B° 13 DE DICIEMBRE EN JOSE HERNANDEZ,Plazas,C,Higiene Urbana,,,
ESPEJO,Plazas,A,Delegación,,,CHACRAS DE CORIA
ESQUINA PUEYRREDON Y VIAMONTE,Paseo y Espacios Públicos,C,Obras y EP,-32.99353883,-68.88683879,CHACRAS DE CORIA
ESQUINA VIEYTES Y BOEDO,Paseo y Espacios Públicos,B,Obras y EP,-32.98934896,-68.82579605,CARRODILLA
FELIPE VITALE,Plazas,A,Higiene Urbana,,,CIUDAD
FERIAGRO,Paseo y Espacios Públicos,B,Higiene Urbana,,,
FFCC (LARREA-ALZAGA),Ciclovía,B,Higiene Urbana y Obras,-32.98975167,-68.87196827,CHACRAS DE CORIA
GAVIOLA Y PATRICIOS,Rotonda,C,Obras y EP,-33.02751296,-68.87840447,CIUDAD
GENERAL SAN MARTÍN,Plazas,A,Higiene Urbana,,,CIUDAD
GOB. ORTIZ ,Paseo y Espacios Públicos,C,Higiene Urbana,,,
GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Ciclovía,E,Higiene Urbana y Obras,-33.01858208,-68.90907247,VISTALBA
